date,time,open,high,low,close,daily_poc,h4_poc,weekly_poc,adx_14,di_plus_14,di_minus_14
2021.05.27,01:00,13676.077,13687.599,13662.819,13685.799,13674.169,13674.739,12985.159,23.21,11.85,21.19
2021.05.27,02:00,13686.219,13689.019,13643.999,13653.949,13674.169,13674.739,12985.159,24.31,10.45,23.63
2021.05.27,03:00,13654.017,13663.099,13623.749,13635.259,13674.169,13674.739,12985.159,25.96,9.41,26.41
2021.05.27,04:00,13635.277,13654.299,13628.919,13635.389,13674.169,13635.259,12985.159,27.5,8.8,24.69
2021.05.27,05:00,13635.549,13642.587,13622.309,13630.519,13674.169,13635.259,12985.159,29.12,8.33,25.11
2021.05.27,06:00,13630.959,13654.999,13625.949,13647.429,13674.169,13635.259,12985.159,29.61,10.93,23.22
2021.05.27,07:00,13647.529,13670.787,13635.969,13668.779,13674.169,13635.259,12985.159,28.95,13.98,21.16
2021.05.27,08:00,13668.879,13683.589,13624.229,13663.549,13674.169,13630.519,12985.159,27.56,15.05,18.19
2021.05.27,09:00,13663.587,13700.199,13646.389,13658.349,13674.169,13630.519,12985.159,25.8,16.95,16.0
2021.05.27,10:00,13658.379,13724.589,13649.379,13687.419,13674.169,13630.519,12985.159,25.21,19.33,13.55
2021.05.27,11:00,13687.447,13714.809,13682.349,13712.269,13674.169,13630.519,12985.159,24.66,18.04,12.64
2021.05.27,12:00,13712.277,13717.199,13695.089,13706.989,13674.169,13658.349,12985.159,24.26,17.7,12.06
2021.05.27,13:00,13707.017,13714.617,13683.439,13690.789,13674.169,13658.349,12985.159,23.19,16.53,13.73
2021.05.27,14:00,13691.019,13692.499,13654.469,13668.569,13674.169,13658.349,12985.159,22.27,15.22,18.71
2021.05.27,15:00,13668.819,13682.689,13651.319,13656.239,13674.169,13658.349,12985.159,21.55,14.21,18.14
2021.05.27,16:00,13656.269,13689.899,13654.539,13684.879,13674.169,13656.239,12985.159,20.49,14.67,16.79
2021.05.27,18:00,13695.747,13700.399,13688.399,13694.699,13674.169,13656.239,12985.159,19.08,16.47,16.22
2021.05.27,19:00,13695.117,13711.219,13685.839,13705.759,13674.169,13656.239,12985.159,18.28,17.94,15.3
2021.05.27,20:00,13706.219,13718.719,13702.179,13707.429,13674.169,13684.879,12985.159,17.88,18.99,14.72
2021.05.27,21:00,13707.629,13710.219,13689.309,13693.239,13674.169,13684.879,12985.159,16.81,18.05,17.03
2021.05.27,22:00,13693.327,13699.997,13687.739,13695.649,13674.169,13684.879,12985.159,15.74,17.51,16.9
2021.05.27,23:00,13695.809,13705.489,13695.769,13703.689,13674.169,13684.879,12985.159,15.02,18.48,16.47
2021.05.28,00:00,13703.809,13704.687,13693.219,13699.669,13630.519,13693.239,12985.159,14.21,17.91,16.65
2021.05.28,01:00,13699.707,13704.699,13675.119,13678.479,13630.519,13693.239,12985.159,13.91,16.49,20.17
2021.05.28,02:00,13678.439,13679.009,13665.609,13678.279,13630.519,13693.239,12985.159,14.08,15.88,22.06
2021.05.28,03:00,13678.849,13693.987,13669.959,13688.409,13630.519,13693.239,12985.159,13.37,18.99,20.58
2021.05.28,04:00,13688.399,13702.997,13688.269,13700.249,13630.519,13678.279,12985.159,12.6,20.78,19.71
2021.05.28,05:00,13700.369,13717.509,13694.789,13713.169,13630.519,13678.279,12985.159,12.58,23.61,18.42
2021.05.28,06:00,13713.137,13728.889,13708.449,13728.689,13630.519,13678.279,12985.159,13.05,25.53,17.32
2021.05.28,07:00,13728.667,13728.667,13712.119,13716.439,13630.519,13678.279,12985.159,13.49,24.26,16.46
2021.05.28,08:00,13716.457,13717.809,13682.919,13689.359,13630.519,13700.249,12985.159,12.76,21.8,23.26
2021.05.28,09:00,13689.519,13743.097,13687.119,13727.109,13630.519,13700.249,12985.159,12.71,25.28,19.8
2021.05.28,10:00,13726.909,13736.187,13698.899,13718.569,13630.519,13700.249,12985.159,12.67,22.84,17.89
2021.05.28,11:00,13718.787,13753.797,13711.789,13752.779,13630.519,13700.249,12985.159,13.31,24.84,16.01
2021.05.28,12:00,13753.069,13766.897,13751.289,13760.229,13630.519,13689.359,12985.159,14.35,27.22,15.37
2021.05.28,13:00,13760.237,13764.789,13710.509,13720.009,13630.519,13689.359,12985.159,13.39,23.66,23.2
2021.05.28,14:00,13720.119,13742.287,13711.049,13735.589,13630.519,13689.359,12985.159,12.51,21.88,21.45
2021.05.28,15:00,13735.719,13736.399,13686.949,13696.219,13630.519,13689.359,12985.159,12.45,19.4,24.55
2021.05.28,16:00,13696.207,13702.999,13694.009,13697.179,13630.519,13696.219,12985.159,12.4,18.98,24.02
2021.05.30,18:00,13703.937,13719.059,13699.609,13714.719,13678.279,13697.179,12985.159,11.64,21.91,22.72
2021.05.30,19:00,13715.089,13722.037,13706.639,13714.719,13678.279,13697.179,12985.159,10.82,21.81,21.83
2021.05.30,20:00,13715.769,13720.599,13702.429,13709.739,13678.279,13714.719,12985.159,10.23,20.77,21.89
2021.05.30,21:00,13710.239,13714.589,13694.469,13707.189,13678.279,13714.719,12985.159,10.04,19.66,22.84
2021.05.30,22:00,13707.289,13712.099,13697.569,13703.719,13678.279,13714.719,12985.159,9.85,18.87,21.93
2021.05.30,23:00,13703.707,13704.317,13693.129,13700.499,13678.279,13714.719,12985.159,9.89,18.27,22.5
2021.05.31,20:00,13689.109,13697.287,13678.089,13693.689,13714.719,13700.499,13714.719,10.58,17.08,25.39
2021.05.31,21:00,13693.769,13701.887,13675.289,13687.439,13714.719,13700.499,13714.719,10.95,17.1,23.45
2021.05.31,22:00,13687.999,13698.169,13677.089,13681.419,13714.719,13700.499,13714.719,11.28,16.05,22.01
2021.05.31,23:00,13681.697,13695.699,13679.479,13690.069,13714.719,13700.499,13714.719,11.59,15.27,20.95
2021.06.01,00:00,13690.119,13699.069,13686.239,13697.089,13681.419,13681.419,13714.719,11.65,15.71,20.12
2021.06.01,01:00,13697.169,13701.089,13690.909,13693.449,13681.419,13681.419,13714.719,11.54,15.84,19.46
2021.06.01,02:00,13693.477,13717.199,13689.749,13709.139,13681.419,13681.419,13714.719,11.06,19.56,17.77
2021.06.01,03:00,13709.689,13720.389,13699.069,13719.469,13681.419,13681.419,13714.719,10.81,19.25,16.57
2021.06.01,04:00,13719.457,13739.399,13713.419,13737.319,13681.419,13693.449,13714.719,11.58,23.64,15.22
2021.06.01,05:00,13737.237,13750.689,13735.449,13740.659,13681.419,13693.449,13714.719,12.8,26.11,14.48
2021.06.01,06:00,13740.989,13748.999,13737.209,13738.539,13681.419,13693.449,13714.719,13.93,25.09,13.91
2021.06.01,07:00,13738.649,13759.169,13732.159,13743.009,13681.419,13693.449,13714.719,15.42,26.2,12.68
